House_ID,Community_Name,Region,Current_Overcrowding_Index,Last_Refurbished_Date,Asset_Condition_Score
HSG-00074,Carnarvon Reserve,Gascoyne,2,1995-08-06,3
HSG-00075,Kalumburu,Kimberley,6,2023-10-28,6
HSG-00076,Burringurrah,Gascoyne,6,2018-02-16,6
HSG-00077,Coonana,Goldfields,4,2017-11-10,6
HSG-00078,Cheeditha,Pilbara,6,1999-12-26,4
HSG-00079,Ardyaloon,Kimberley,9,2011-07-19,6
HSG-00080,Carnarvon Reserve,Gascoyne,2,2023-08-28,7
HSG-00081,Cheeditha,Pilbara,3,2021-12-03,7
HSG-00082,Beagle Bay,Kimberley,8,2003-01-10,4
HSG-00083,Wakathuni,Pilbara,7,2016-07-22,6
HSG-00084,Carnarvon Reserve,Gascoyne,7,2016-06-26,9
HSG-00085,Beagle Bay,Kimberley,4,2006-04-05,4
HSG-00086,Kalumburu,Kimberley,3,2010-01-14,4
HSG-00087,Wongatha Wonganarra,Goldfields,5,2019-12-07,6
HSG-00088,Cheeditha,Pilbara,6,2011-01-25,7
HSG-00089,Ardyaloon,Kimberley,5,2013-01-11,8
HSG-00090,Ardyaloon,Kimberley,4,2016-03-26,10
HSG-00091,Coonana,Goldfields,6,1999-08-27,4
HSG-00092,Yulga Jinna,Mid West,3,2026-04-02,6
HSG-00093,Beagle Bay,Kimberley,5,2024-11-21,7
HSG-00094,Carnarvon Reserve,Gascoyne,6,2013-03-28,5
HSG-00095,Bidyadanga,Kimberley,3,2003-05-15,3
HSG-00096,Coonana,Goldfields,4,2018-06-24,7
HSG-00097,Bidyadanga,Kimberley,5,1996-11-09,3
HSG-00098,Carnarvon Reserve,Gascoyne,5,2019-03-09,6
HSG-00099,Wakathuni,Pilbara,3,2026-02-27,6
HSG-00100,Tjuntjuntjara,Goldfields,5,2007-01-18,3
HSG-00101,Yandeyarra,Pilbara,6,2014-05-13,7
HSG-00102,Mungullah,Mid West,7,2019-10-08,7
HSG-00103,Tjuntjuntjara,Goldfields,2,2007-02-09,4
HSG-00104,Beagle Bay,Kimberley,6,2013-12-15,6
HSG-00105,Coonana,Goldfields,6,2017-12-03,10
HSG-00106,Burringurrah,Gascoyne,6,2016-05-17,8
HSG-00107,Bidyadanga,Kimberley,7,2020-08-06,7
HSG-00108,Coonana,Goldfields,4,2022-07-29,7
HSG-00109,Pia Wadjari,Mid West,3,2015-10-21,5
HSG-00110,Carnarvon Reserve,Gascoyne,4,2013-08-10,6
HSG-00111,Cheeditha,Pilbara,10,2012-06-04,2
HSG-00112,Mungullah,Mid West,7,1997-09-03,3
HSG-00113,Cheeditha,Pilbara,4,2013-04-27,7
HSG-00114,Wongatha Wonganarra,Goldfields,5,2003-06-30,4
HSG-00115,Bidyadanga,Kimberley,3,2016-06-24,7
HSG-00116,Pia Wadjari,Mid West,3,2013-06-10,6
HSG-00117,Wongatha Wonganarra,Goldfields,5,2010-02-24,4
HSG-00118,Yulga Jinna,Mid West,10,2013-06-20,7
HSG-00119,Cheeditha,Pilbara,1,2013-08-25,6
HSG-00120,Bidyadanga,Kimberley,4,2017-02-13,7
HSG-00121,Yulga Jinna,Mid West,3,2015-10-06,5
HSG-00122,Pia Wadjari,Mid West,6,2019-09-12,7
HSG-00123,Yulga Jinna,Mid West,2,2020-06-27,5
HSG-00124,Bidyadanga,Kimberley,4,1997-07-01,4
HSG-00125,Burringurrah,Gascoyne,9,2024-01-30,6
HSG-00126,Coonana,Goldfields,2,2020-03-16,7
HSG-00127,Ardyaloon,Kimberley,10,2018-09-30,7
HSG-00128,Carnarvon Reserve,Gascoyne,2,2011-11-02,5
HSG-00129,Carnarvon Reserve,Gascoyne,8,2001-09-24,4
HSG-00130,Mungullah,Mid West,6,2021-06-29,7
HSG-00131,Ardyaloon,Kimberley,3,2013-02-09,5
HSG-00132,Wakathuni,Pilbara,1,2012-08-20,4
HSG-00133,Yandeyarra,Pilbara,4,2000-03-28,3
HSG-00134,Yulga Jinna,Mid West,9,1997-08-23,3
HSG-00135,Burringurrah,Gascoyne,4,2011-07-24,6
HSG-00136,Burringurrah,Gascoyne,8,1996-10-20,3
HSG-00137,Wakathuni,Pilbara,8,2012-01-21,6
HSG-00138,Cheeditha,Pilbara,3,2010-07-17,6
HSG-00139,Cheeditha,Pilbara,5,2000-04-26,4
HSG-00140,Coonana,Goldfields,5,2017-12-11,5
HSG-00141,Wongatha Wonganarra,Goldfields,5,2024-03-20,7
HSG-00142,Jigalong,Pilbara,8,2001-06-14,3
HSG-00143,Jigalong,Pilbara,10,2011-11-02,2
HSG-00144,Pia Wadjari,Mid West,5,2011-11-02,7
HSG-00145,Beagle Bay,Kimberley,6,2000-11-17,4
HSG-00146,Carnarvon Reserve,Gascoyne,5,2013-09-30,5
HSG-00147,Bidyadanga,Kimberley,4,2016-11-13,7
HSG-00148,Yulga Jinna,Mid West,6,1996-08-01,4
HSG-00149,Wakathuni,Pilbara,7,2019-01-12,6
HSG-00150,Pia Wadjari,Mid West,7,2025-11-11,7
HSG-00151,Wongatha Wonganarra,Goldfields,3,2002-03-12,4
HSG-00152,Mungullah,Mid West,7,2025-11-09,7
HSG-00153,Carnarvon Reserve,Gascoyne,5,2023-07-05,6
HSG-00154,Mungullah,Mid West,8,2000-03-03,4
HSG-00155,Bidyadanga,Kimberley,6,2013-12-16,5
HSG-00156,Wakathuni,Pilbara,5,2015-12-11,7
HSG-00157,Pia Wadjari,Mid West,7,2013-01-23,7
HSG-00158,Warmun,Kimberley,8,2025-08-26,6
HSG-00159,Bidyadanga,Kimberley,7,2018-07-03,5
HSG-00160,Ardyaloon,Kimberley,6,2026-01-23,5
HSG-00161,Yandeyarra,Pilbara,5,2022-01-28,7
HSG-00162,Wakathuni,Pilbara,3,2022-08-15,9
HSG-00163,Wakathuni,Pilbara,3,2005-11-27,3
HSG-00164,Yandeyarra,Pilbara,8,2020-12-22,7
HSG-00165,Kalumburu,Kimberley,6,2025-12-21,7
HSG-00166,Burringurrah,Gascoyne,5,2002-02-23,4
HSG-00167,Kalumburu,Kimberley,5,2007-04-12,4
HSG-00168,Wongatha Wonganarra,Goldfields,7,2022-08-14,5
HSG-00169,Bidyadanga,Kimberley,3,2012-06-28,5
HSG-00170,Coonana,Goldfields,6,1997-07-09,4
HSG-00171,Coonana,Goldfields,3,2012-09-24,6
HSG-00172,Warmun,Kimberley,6,2014-07-11,5
HSG-00173,Yulga Jinna,Mid West,4,2021-10-20,6
HSG-00174,Cheeditha,Pilbara,2,1996-10-01,3
HSG-00175,Pia Wadjari,Mid West,3,2017-12-17,5
HSG-00176,Yandeyarra,Pilbara,6,2017-10-13,8
HSG-00177,Wakathuni,Pilbara,7,2013-12-11,5
HSG-00178,Warmun,Kimberley,5,2004-03-02,4
HSG-00179,Mungullah,Mid West,5,2015-01-20,5
HSG-00180,Tjuntjuntjara,Goldfields,6,2005-08-23,4
HSG-00181,Kalumburu,Kimberley,6,2020-04-17,8
HSG-00182,Wakathuni,Pilbara,5,2010-08-22,6
HSG-00183,Wakathuni,Pilbara,7,2010-10-16,5
HSG-00184,Ardyaloon,Kimberley,5,2017-02-07,6
HSG-00185,Yulga Jinna,Mid West,5,2006-12-29,4
HSG-00186,Burringurrah,Gascoyne,5,2010-08-23,6
HSG-00187,Burringurrah,Gascoyne,8,2012-08-24,7
HSG-00188,Tjuntjuntjara,Goldfields,10,2000-01-18,4
HSG-00189,Tjuntjuntjara,Goldfields,7,2019-03-31,6
HSG-00190,Cheeditha,Pilbara,10,2010-09-01,4
HSG-00191,Jigalong,Pilbara,3,2007-09-29,4
HSG-00192,Wongatha Wonganarra,Goldfields,1,2017-04-10,5
HSG-00193,Cheeditha,Pilbara,3,2018-11-28,6
HSG-00194,Cheeditha,Pilbara,6,2025-06-01,9
HSG-00195,Carnarvon Reserve,Gascoyne,7,2006-05-11,4
HSG-00196,Kalumburu,Kimberley,3,2016-06-08,6
HSG-00197,Wakathuni,Pilbara,2,2023-05-24,9
HSG-00198,Burringurrah,Gascoyne,8,2010-09-30,5
HSG-00199,Pia Wadjari,Mid West,1,2021-05-04,8
HSG-00200,Tjuntjuntjara,Goldfields,5,2023-04-27,8
HSG-00201,Pia Wadjari,Mid West,1,2011-08-11,4
HSG-00202,Beagle Bay,Kimberley,5,2021-08-15,6
HSG-00203,Coonana,Goldfields,4,2019-04-01,7
HSG-00204,Burringurrah,Gascoyne,3,2018-09-06,5
HSG-00205,Pia Wadjari,Mid West,5,2012-01-01,6
HSG-00206,Burringurrah,Gascoyne,7,2004-08-16,3
HSG-00207,Carnarvon Reserve,Gascoyne,2,2023-02-13,8
HSG-00208,Cheeditha,Pilbara,6,2012-03-13,4
HSG-00209,Jigalong,Pilbara,8,2024-03-10,6
HSG-00210,Warmun,Kimberley,8,2011-06-15,6
HSG-00211,Burringurrah,Gascoyne,10,2017-05-15,9
HSG-00212,Cheeditha,Pilbara,4,2016-06-06,7
HSG-00213,Mungullah,Mid West,6,2019-01-16,8
HSG-00214,Carnarvon Reserve,Gascoyne,3,2013-04-04,7
HSG-00215,Carnarvon Reserve,Gascoyne,7,2010-01-17,2
HSG-00216,Yandeyarra,Pilbara,2,2013-03-09,2
HSG-00217,Wongatha Wonganarra,Goldfields,4,2016-10-19,7
HSG-00218,Warmun,Kimberley,8,2016-06-07,6
HSG-00219,Pia Wadjari,Mid West,9,1997-09-02,3
HSG-00220,Pia Wadjari,Mid West,1,2023-07-28,5
HSG-00221,Warmun,Kimberley,6,2015-07-27,5
HSG-00222,Coonana,Goldfields,1,2024-02-02,5
HSG-00223,Carnarvon Reserve,Gascoyne,2,2017-08-09,7
HSG-00224,Beagle Bay,Kimberley,6,1998-09-13,4
HSG-00225,Pia Wadjari,Mid West,4,2008-08-07,4
HSG-00226,Yulga Jinna,Mid West,5,2011-04-17,7
HSG-00227,Pia Wadjari,Mid West,3,2012-12-13,6
HSG-00228,Wongatha Wonganarra,Goldfields,4,2011-03-12,4
HSG-00229,Tjuntjuntjara,Goldfields,5,1999-01-09,4
HSG-00230,Yulga Jinna,Mid West,4,2012-10-12,3
HSG-00231,Bidyadanga,Kimberley,9,2017-12-17,6
HSG-00232,Warmun,Kimberley,3,2025-06-27,6
HSG-00233,Burringurrah,Gascoyne,5,2013-05-05,5
HSG-00234,Cheeditha,Pilbara,6,2010-07-17,7
HSG-00235,Mungullah,Mid West,4,2008-01-18,4
HSG-00236,Carnarvon Reserve,Gascoyne,4,2004-10-22,1
HSG-00237,Mungullah,Mid West,2,2025-07-11,8
HSG-00238,Carnarvon Reserve,Gascoyne,9,2020-12-22,5
HSG-00239,Carnarvon Reserve,Gascoyne,6,2013-04-15,6
HSG-00240,Yandeyarra,Pilbara,10,2012-04-02,8
HSG-00241,Wakathuni,Pilbara,5,2004-09-16,4
HSG-00242,Tjuntjuntjara,Goldfields,1,2010-10-04,6
HSG-00243,Wakathuni,Pilbara,3,1997-03-23,3
HSG-00244,Mungullah,Mid West,4,1998-03-28,4
HSG-00245,Bidyadanga,Kimberley,9,2012-12-09,7
HSG-00246,Burringurrah,Gascoyne,5,2026-01-05,8
HSG-00247,Wongatha Wonganarra,Goldfields,5,1995-07-04,4
HSG-00248,Mungullah,Mid West,8,2011-08-31,6
HSG-00249,Pia Wadjari,Mid West,3,2015-08-23,5
HSG-00250,Burringurrah,Gascoyne,3,1999-12-23,3
HSG-00251,Jigalong,Pilbara,7,2014-02-02,9
HSG-00252,Mungullah,Mid West,2,2015-10-02,7
HSG-00253,Pia Wadjari,Mid West,4,2021-09-19,5
HSG-00254,Beagle Bay,Kimberley,4,1997-08-07,4
HSG-00255,Coonana,Goldfields,5,2000-04-14,4
HSG-00256,Burringurrah,Gascoyne,6,2026-03-17,5
HSG-00257,Yulga Jinna,Mid West,4,2010-04-25,4
HSG-00258,Pia Wadjari,Mid West,4,2015-07-17,7
HSG-00259,Yulga Jinna,Mid West,6,2011-12-16,4
HSG-00260,Burringurrah,Gascoyne,5,2015-07-16,7
HSG-00261,Yulga Jinna,Mid West,1,2024-07-17,6
HSG-00262,Beagle Bay,Kimberley,4,2017-02-04,7
HSG-00263,Warmun,Kimberley,3,2010-07-13,2
HSG-00264,Warmun,Kimberley,1,2020-06-09,6
HSG-00265,Coonana,Goldfields,6,2012-12-17,4
HSG-00266,Bidyadanga,Kimberley,6,2002-11-25,3
HSG-00267,Mungullah,Mid West,5,2006-09-05,3
HSG-00268,Yulga Jinna,Mid West,4,2021-03-04,6
HSG-00269,Yandeyarra,Pilbara,3,2013-07-19,5
HSG-00270,Wakathuni,Pilbara,7,1996-03-24,4
HSG-00271,Wakathuni,Pilbara,7,2005-10-11,3
HSG-00272,Wongatha Wonganarra,Goldfields,6,2025-10-03,8
HSG-00273,Wongatha Wonganarra,Goldfields,1,1997-03-17,4
HSG-00274,Warmun,Kimberley,6,2014-08-05,5
HSG-00275,Wongatha Wonganarra,Goldfields,6,2000-06-16,4
HSG-00276,Tjuntjuntjara,Goldfields,5,2017-02-19,5
HSG-00277,Pia Wadjari,Mid West,8,2023-01-29,6
HSG-00278,Yulga Jinna,Mid West,6,2014-08-11,5
HSG-00279,Wongatha Wonganarra,Goldfields,4,2017-05-20,5
HSG-00280,Pia Wadjari,Mid West,6,2025-08-13,5
HSG-00281,Kalumburu,Kimberley,6,2011-01-07,9
HSG-00282,Cheeditha,Pilbara,7,2018-07-10,5
HSG-00283,Cheeditha,Pilbara,8,2021-07-13,5
HSG-00284,Ardyaloon,Kimberley,1,2004-10-21,4
HSG-00285,Kalumburu,Kimberley,1,2015-03-26,5
HSG-00286,Bidyadanga,Kimberley,5,2015-11-01,9
HSG-00287,Jigalong,Pilbara,6,2021-08-27,5
HSG-00288,Wongatha Wonganarra,Goldfields,7,1998-01-17,2
HSG-00289,Cheeditha,Pilbara,6,2011-01-02,7
HSG-00290,Coonana,Goldfields,2,2012-04-24,8
HSG-00291,Jigalong,Pilbara,6,2013-08-20,5
HSG-00292,Coonana,Goldfields,6,2014-05-25,10
HSG-00293,Wongatha Wonganarra,Goldfields,5,2022-10-10,6
HSG-00294,Wongatha Wonganarra,Goldfields,4,2005-08-08,4
HSG-00295,Yulga Jinna,Mid West,7,2003-04-10,4
HSG-00296,Wakathuni,Pilbara,5,2025-07-16,5
HSG-00297,Burringurrah,Gascoyne,6,2018-07-04,6
HSG-00298,Warmun,Kimberley,7,2016-07-03,5
HSG-00299,Mungullah,Mid West,4,2010-05-10,4
HSG-00300,Bidyadanga,Kimberley,4,2011-04-04,6
HSG-00301,Beagle Bay,Kimberley,7,1997-03-28,4
HSG-00302,Pia Wadjari,Mid West,7,2014-06-23,8
HSG-00303,Burringurrah,Gascoyne,6,2021-10-30,9
HSG-00304,Warmun,Kimberley,3,2001-01-12,3
HSG-00305,Bidyadanga,Kimberley,1,2019-10-16,8
HSG-00306,Mungullah,Mid West,6,2015-04-12,5
HSG-00307,Wongatha Wonganarra,Goldfields,6,2003-05-04,3
HSG-00308,Pia Wadjari,Mid West,10,2020-03-29,6
HSG-00309,Mungullah,Mid West,5,2019-07-07,7
HSG-00310,Carnarvon Reserve,Gascoyne,6,2024-12-10,6
HSG-00311,Jigalong,Pilbara,3,2020-04-25,6
HSG-00312,Carnarvon Reserve,Gascoyne,9,2020-02-01,8
HSG-00313,Coonana,Goldfields,9,2026-01-08,5
HSG-00314,Jigalong,Pilbara,3,2018-03-03,5
HSG-00315,Ardyaloon,Kimberley,5,2022-05-23,7
HSG-00316,Coonana,Goldfields,1,2016-05-23,8
HSG-00317,Cheeditha,Pilbara,5,2025-03-26,5
HSG-00318,Yulga Jinna,Mid West,3,2011-05-01,3
HSG-00319,Pia Wadjari,Mid West,7,2014-09-12,6
HSG-00320,Carnarvon Reserve,Gascoyne,2,1999-09-21,3
HSG-00321,Yandeyarra,Pilbara,4,2016-10-09,9
HSG-00322,Ardyaloon,Kimberley,4,1998-11-12,3
HSG-00323,Yulga Jinna,Mid West,4,2022-09-21,5
HSG-00324,Mungullah,Mid West,1,2023-12-17,5
HSG-00325,Carnarvon Reserve,Gascoyne,4,2024-03-26,7
HSG-00326,Wongatha Wonganarra,Goldfields,9,2015-11-18,8
HSG-00327,Burringurrah,Gascoyne,4,1999-09-20,4
HSG-00328,Burringurrah,Gascoyne,10,2022-06-05,6
HSG-00329,Kalumburu,Kimberley,5,2019-10-23,5
HSG-00330,Mungullah,Mid West,5,2012-12-10,5
HSG-00331,Pia Wadjari,Mid West,4,2013-04-14,5
HSG-00332,Tjuntjuntjara,Goldfields,5,2015-06-26,5
HSG-00333,Tjuntjuntjara,Goldfields,3,2021-06-13,6
HSG-00334,Mungullah,Mid West,4,2024-04-16,8
HSG-00335,Warmun,Kimberley,1,2022-11-21,7
HSG-00336,Yandeyarra,Pilbara,8,1995-08-23,2
HSG-00337,Burringurrah,Gascoyne,4,2022-11-01,5
HSG-00338,Wongatha Wonganarra,Goldfields,2,2001-05-09,4
HSG-00339,Wongatha Wonganarra,Goldfields,3,2016-12-02,9
HSG-00340,Kalumburu,Kimberley,7,2020-03-12,8
HSG-00341,Mungullah,Mid West,7,2010-12-05,3
HSG-00342,Burringurrah,Gascoyne,4,2023-01-08,6
HSG-00343,Carnarvon Reserve,Gascoyne,2,2012-08-18,7
HSG-00344,Carnarvon Reserve,Gascoyne,4,2018-05-17,5
HSG-00345,Cheeditha,Pilbara,7,2016-12-09,6
HSG-00346,Coonana,Goldfields,4,2021-03-18,8
HSG-00347,Burringurrah,Gascoyne,3,2024-03-18,7
HSG-00348,Ardyaloon,Kimberley,6,2019-11-20,5
HSG-00349,Pia Wadjari,Mid West,6,2004-03-15,3
HSG-00350,Tjuntjuntjara,Goldfields,7,2015-08-15,5
HSG-00351,Carnarvon Reserve,Gascoyne,4,2025-03-11,7
HSG-00352,Yandeyarra,Pilbara,3,2012-01-14,3
HSG-00353,Yulga Jinna,Mid West,2,2012-09-26,7
HSG-00354,Burringurrah,Gascoyne,2,2013-01-13,9
HSG-00355,Yandeyarra,Pilbara,1,2014-10-24,9
HSG-00356,Bidyadanga,Kimberley,5,2010-09-06,5
HSG-00357,Coonana,Goldfields,4,2018-11-10,6
HSG-00358,Carnarvon Reserve,Gascoyne,5,2026-02-14,7
HSG-00359,Coonana,Goldfields,5,2022-01-20,6
HSG-00360,Tjuntjuntjara,Goldfields,4,2023-05-27,5
HSG-00361,Yulga Jinna,Mid West,6,2001-03-07,2
HSG-00362,Wakathuni,Pilbara,2,2018-09-17,7
HSG-00363,Burringurrah,Gascoyne,5,2023-11-08,5
HSG-00364,Warmun,Kimberley,5,2025-10-06,6
HSG-00365,Bidyadanga,Kimberley,4,1995-10-30,4
HSG-00366,Burringurrah,Gascoyne,5,2001-01-07,4
HSG-00367,Warmun,Kimberley,6,2013-12-17,2
HSG-00368,Wakathuni,Pilbara,7,2015-04-17,6
HSG-00369,Mungullah,Mid West,6,2018-10-20,7
HSG-00370,Burringurrah,Gascoyne,9,2023-11-09,7
HSG-00371,Wongatha Wonganarra,Goldfields,1,2004-02-11,3
HSG-00372,Coonana,Goldfields,4,2023-09-11,6
HSG-00373,Kalumburu,Kimberley,6,1998-02-26,4
HSG-00374,Tjuntjuntjara,Goldfields,5,2010-02-02,4
HSG-00375,Beagle Bay,Kimberley,4,2006-02-22,3
HSG-00376,Jigalong,Pilbara,3,2012-03-03,3
HSG-00377,Pia Wadjari,Mid West,3,2011-06-19,7
HSG-00378,Burringurrah,Gascoyne,3,2016-03-15,10
HSG-00379,Mungullah,Mid West,6,2010-10-19,6
HSG-00380,Tjuntjuntjara,Goldfields,3,2024-11-30,7
HSG-00381,Carnarvon Reserve,Gascoyne,4,2016-10-07,6
HSG-00382,Mungullah,Mid West,10,2024-11-22,5
HSG-00383,Coonana,Goldfields,8,2011-07-23,4
HSG-00384,Burringurrah,Gascoyne,5,2011-08-09,9
HSG-00385,Carnarvon Reserve,Gascoyne,4,2011-08-14,9
HSG-00386,Cheeditha,Pilbara,7,1998-09-22,4
HSG-00387,Yandeyarra,Pilbara,6,2012-04-10,7
HSG-00388,Wongatha Wonganarra,Goldfields,6,2011-09-17,3
HSG-00389,Yandeyarra,Pilbara,3,2018-06-03,5
HSG-00390,Pia Wadjari,Mid West,5,2020-11-25,7
HSG-00391,Tjuntjuntjara,Goldfields,5,2001-11-07,3
HSG-00392,Wongatha Wonganarra,Goldfields,6,2024-07-10,7
HSG-00393,Coonana,Goldfields,6,2016-04-13,7
HSG-00394,Burringurrah,Gascoyne,7,2017-01-22,6
HSG-00395,Carnarvon Reserve,Gascoyne,5,2004-04-23,3
HSG-00396,Carnarvon Reserve,Gascoyne,6,2014-12-25,6
HSG-00397,Mungullah,Mid West,6,2011-12-26,3
HSG-00398,Burringurrah,Gascoyne,3,2016-03-27,7
HSG-00399,Carnarvon Reserve,Gascoyne,5,2012-09-14,7
HSG-00400,Coonana,Goldfields,5,2014-12-25,6
HSG-00401,Jigalong,Pilbara,7,2015-09-26,5
HSG-00402,Jigalong,Pilbara,5,2022-03-12,5
HSG-00403,Bidyadanga,Kimberley,4,2022-09-13,5
HSG-00404,Carnarvon Reserve,Gascoyne,5,2015-07-20,5
HSG-00405,Wakathuni,Pilbara,8,2010-03-11,4
HSG-00406,Jigalong,Pilbara,5,2012-05-10,5
HSG-00407,Pia Wadjari,Mid West,8,2018-10-16,6
HSG-00408,Burringurrah,Gascoyne,7,2000-02-06,3
HSG-00409,Carnarvon Reserve,Gascoyne,6,2016-10-03,7
HSG-00410,Cheeditha,Pilbara,5,2011-10-09,7
HSG-00411,Tjuntjuntjara,Goldfields,4,2013-03-11,8
HSG-00412,Jigalong,Pilbara,10,2018-05-05,5
HSG-00413,Pia Wadjari,Mid West,4,2022-05-31,8
HSG-00414,Carnarvon Reserve,Gascoyne,8,2017-04-19,5
HSG-00415,Cheeditha,Pilbara,4,2011-09-13,5
HSG-00416,Wakathuni,Pilbara,2,2012-02-09,4
HSG-00417,Pia Wadjari,Mid West,3,2013-11-01,4
HSG-00418,Warmun,Kimberley,5,2015-02-01,6
HSG-00419,Mungullah,Mid West,8,2003-02-10,4
HSG-00420,Bidyadanga,Kimberley,7,2022-07-02,5
HSG-00421,Coonana,Goldfields,5,2022-05-11,7
HSG-00422,Tjuntjuntjara,Goldfields,3,2021-06-03,6
HSG-00423,Pia Wadjari,Mid West,5,2026-04-19,6
HSG-00424,Bidyadanga,Kimberley,6,2020-03-15,10
HSG-00425,Burringurrah,Gascoyne,4,2023-01-03,5
HSG-00426,Cheeditha,Pilbara,4,2023-05-06,5
HSG-00427,Wakathuni,Pilbara,4,2012-04-30,8
HSG-00428,Warmun,Kimberley,8,1997-05-28,4
HSG-00429,Carnarvon Reserve,Gascoyne,3,2022-01-01,6
HSG-00430,Mungullah,Mid West,4,2015-01-29,7
HSG-00431,Burringurrah,Gascoyne,5,2008-06-27,3
HSG-00432,Kalumburu,Kimberley,8,2015-04-28,9
HSG-00433,Carnarvon Reserve,Gascoyne,4,2013-10-04,5
HSG-00434,Warmun,Kimberley,6,2015-01-23,6
