InputID,TargetID,Distance
GF-SITE-085,"113.6622","75469.1493091196"
GF-SITE-086,"113.6622","78893.4694805066"
GF-SITE-087,"118.5925","380260.918491887"
GF-SITE-088,"121.3292","438418.693545176"
GF-SITE-089,"113.6622","110754.963630296"
GF-SITE-090,"122.2361","240808.629560593"
GF-SITE-091,"113.6622","28696.6129469018"
GF-SITE-092,"114.6144","189684.384001642"
GF-SITE-093,"122.2361","352457.020669955"
GF-SITE-094,"116.8415","182355.866152255"
GF-SITE-095,"128.7384","324095.558376472"
GF-SITE-096,"113.6622","83997.9314050911"
GF-SITE-097,"118.4984","251010.164830642"
GF-SITE-098,"118.5925","153501.534851567"
GF-SITE-099,"128.7384","163937.02278165"
GF-SITE-100,"121.3292","221512.968569023"
GF-SITE-101,"122.2361","419037.74760937"
GF-SITE-102,"113.6622","205181.13085363"
GF-SITE-103,"113.6622","215534.468639967"
GF-SITE-104,"121.3292","52085.741507824"
GF-SITE-105,"122.2361","251129.967106173"
GF-SITE-106,"121.3292","431446.231422018"
GF-SITE-107,"116.8415","65146.1172699345"
GF-SITE-108,"118.5925","278729.093311038"
GF-SITE-109,"121.4646","25980.9529779564"
GF-SITE-110,"113.6622","173392.088004252"
GF-SITE-111,"118.5925","405396.389660776"
GF-SITE-112,"113.6622","227568.635110271"
GF-SITE-113,"118.4984","273915.059298823"
GF-SITE-114,"122.2361","372487.758173388"
GF-SITE-115,"113.6622","125095.444750187"
GF-SITE-116,"122.2361","301757.150184253"
GF-SITE-117,"122.2361","350297.235759319"
GF-SITE-118,"114.6144","183545.283517022"
GF-SITE-119,"128.7384","163382.063210049"
GF-SITE-120,"122.2361","308147.842431038"
GF-SITE-121,"128.7384","353019.627711257"
GF-SITE-122,"121.3292","172259.010221975"
GF-SITE-123,"113.6622","90470.3490325443"
GF-SITE-124,"118.5925","85413.6329963755"
GF-SITE-125,"121.3292","213014.880329513"
GF-SITE-126,"128.7384","246556.349456055"
GF-SITE-127,"116.8415","25846.9354757454"
GF-SITE-128,"113.6622","233525.355957731"
GF-SITE-129,"122.2361","204125.064021292"
GF-SITE-130,"113.6622","104647.986234284"
GF-SITE-131,"122.2361","270894.244709834"
GF-SITE-132,"121.3292","223696.099682068"
GF-SITE-133,"118.5925","317364.495548078"
GF-SITE-134,"122.2361","239261.496128654"
GF-SITE-135,"128.7384","419296.534376992"
GF-SITE-136,"118.5925","250520.084516446"
GF-SITE-137,"113.6622","122897.768365504"
GF-SITE-138,"121.3292","260734.312729161"
GF-SITE-139,"121.3292","36385.4821045205"
GF-SITE-140,"121.4646","346358.421247778"
GF-SITE-141,"122.2361","331689.731129863"
GF-SITE-142,"122.2361","294229.055172403"
GF-SITE-143,"116.8415","104082.898491382"
GF-SITE-144,"121.3292","294641.933559335"
GF-SITE-145,"121.3292","340592.453416882"
GF-SITE-146,"116.8415","276180.74258509"
GF-SITE-147,"113.6622","137124.006292967"
GF-SITE-148,"128.7384","243619.352875324"
GF-SITE-149,"114.6144","202145.570467737"
GF-SITE-150,"118.5925","153389.941050548"
