Site_ID,Proposed_Region,Latitude,Longitude,Native_Title_Status,Proximity_To_Infrastructure_KM
GF-SITE-033,Kimberley,-14.56865,127.61095,Pending,180.154557194458
GF-SITE-034,Kimberley,-15.94119,126.64851,Approved,224.613920249357
GF-SITE-035,Mid West,-27.48453,116.29966,Approved,218.91769743762
GF-SITE-036,Mid West,-27.96398,115.10287,Approved,102.035138250191
GF-SITE-037,Goldfields,-29.69174,123.13749,Pending,198.66527851305702
GF-SITE-038,Pilbara,-21.04165,120.39504,Pending,204.20193331222998
GF-SITE-039,Mid West,-27.1917,115.26105,Pending,186.843360488139
GF-SITE-040,Gascoyne,-25.73212,115.10447,Pending,173.054999802669
GF-SITE-041,Goldfields,-29.79538,123.97878,Approved,263.654269220671
GF-SITE-042,Mid West,-26.11897,116.29372,Approved,226.242196562189
GF-SITE-043,Gascoyne,-24.16165,115.50976,Approved,203.542327923057
GF-SITE-044,Mid West,-26.03548,116.34693,Pending,223.53312996459601
GF-SITE-045,Gascoyne,-25.8477,115.98302,Approved,256.886933647232
GF-SITE-046,Gascoyne,-24.24231,115.59378,Approved,208.131310126533
GF-SITE-047,Mid West,-26.95693,115.38828,Approved,215.612167656084
GF-SITE-048,Kimberley,-14.55261,128.41222,Approved,139.576272461866
GF-SITE-049,Mid West,-26.86858,115.1126,Approved,217.105039884356
GF-SITE-050,Pilbara,-21.00508,119.24349,Approved,101.96256937304301
GF-SITE-051,Pilbara,-21.93561,117.19134,Pending,137.445264075311
GF-SITE-052,Pilbara,-20.57264,120.92665,Pending,245.19821988796699
GF-SITE-053,Mid West,-28.90975,117.71983,Approved,267.925890694847
GF-SITE-054,Gascoyne,-25.47477,113.93101,Pending,70.9741502038658
GF-SITE-055,Kimberley,-15.15324,125.6208,Approved,341.531064586721
GF-SITE-056,Pilbara,-23.13662,120.08107,Approved,348.06510668157404
GF-SITE-057,Pilbara,-22.97281,116.01056,Approved,225.58607325966003
GF-SITE-058,Gascoyne,-25.03515,114.58493,Approved,94.7002963756117
GF-SITE-059,Kimberley,-15.96831,126.10396,Pending,282.975372721999
GF-SITE-060,Gascoyne,-23.70112,115.19184,Pending,203.073470854442
GF-SITE-061,Kimberley,-17.95518,122.54347,Approved,32.5604103805628
GF-SITE-062,Goldfields,-29.08142,121.4647,Approved,25.4526635490216
GF-SITE-063,Pilbara,-20.80678,117.44681,Approved,63.483492344588
GF-SITE-064,Pilbara,-21.57654,116.42526,Approved,102.38369748929401
GF-SITE-065,Kimberley,-14.85532,123.79636,Pending,381.293364341787
GF-SITE-066,Gascoyne,-24.39621,113.98747,Approved,63.1435049100095
GF-SITE-067,Gascoyne,-25.20902,115.1907,Approved,158.425371082151
GF-SITE-068,Kimberley,-17.20578,127.02512,Approved,242.03097105484298
GF-SITE-069,Mid West,-26.252,114.51228,Pending,174.096699384618
GF-SITE-070,Goldfields,-26.28271,125.76248,Approved,524.107375835186
GF-SITE-071,Mid West,-26.49773,115.65993,Pending,272.832953307474
GF-SITE-072,Kimberley,-16.25635,128.32089,Pending,69.64520029100811
GF-SITE-073,Mid West,-28.19398,114.75839,Pending,66.1348815570296
GF-SITE-074,Mid West,-26.25158,115.54682,Approved,242.605747665534
GF-SITE-075,Kimberley,-15.18368,127.79676,Pending,120.295546386837
GF-SITE-076,Goldfields,-30.99207,123.2351,Approved,171.595994030934
GF-SITE-077,Mid West,-27.15764,117.72838,Approved,98.8129274402384
GF-SITE-078,Gascoyne,-24.82642,114.80698,Approved,115.868248068733
GF-SITE-079,Gascoyne,-24.09948,114.57474,Approved,126.805739204612
GF-SITE-080,Goldfields,-28.23019,122.8896,Pending,169.057981510271
GF-SITE-081,Gascoyne,-24.44542,113.89826,Approved,53.9998273382122
GF-SITE-082,Kimberley,-15.88818,125.50958,Approved,346.112779599885
GF-SITE-083,Gascoyne,-23.75573,114.91438,Approved,178.13239807125998
GF-SITE-084,Mid West,-26.65523,114.75427,Approved,224.86504057821202
GF-SITE-085,Gascoyne,-24.92811,114.40755,Pending,75.4691493091196
GF-SITE-086,Gascoyne,-24.86382,114.44264,Pending,78.8934694805066
GF-SITE-087,Pilbara,-23.12049,120.71634,Approved,380.26091849188697
GF-SITE-088,Goldfields,-28.72724,125.81696,Approved,438.418693545176
GF-SITE-089,Gascoyne,-23.92241,113.96693,Approved,110.754963630296
GF-SITE-090,Kimberley,-15.78682,122.03799,Pending,240.808629560593
GF-SITE-091,Gascoyne,-25.07864,113.848,Approved,28.6966129469018
GF-SITE-092,Mid West,-27.91638,116.28674,Pending,189.684384001642
GF-SITE-093,Kimberley,-16.15772,124.96997,Pending,352.457020669955
GF-SITE-094,Pilbara,-22.03517,117.92548,Approved,182.355866152255
GF-SITE-095,Kimberley,-17.61371,126.37433,Pending,324.09555837647196
GF-SITE-096,Gascoyne,-25.63837,113.72976,Pending,83.99793140509111
GF-SITE-097,Mid West,-26.1801,116.0251,Approved,251.010164830642
GF-SITE-098,Pilbara,-21.69052,118.38764,Approved,153.50153485156702
GF-SITE-099,Kimberley,-16.20288,127.27256,Pending,163.93702278165
GF-SITE-100,Goldfields,-27.39497,122.83221,Pending,221.512968569023
GF-SITE-101,Kimberley,-14.70677,124.25297,Approved,419.03774760937
GF-SITE-102,Mid West,-26.49968,114.6588,Approved,205.18113085362998
GF-SITE-103,Gascoyne,-25.68395,115.6123,Approved,215.534468639967
GF-SITE-104,Goldfields,-28.51528,121.0003,Approved,52.085741507824004
GF-SITE-105,Kimberley,-17.74652,124.59544,Pending,251.12996710617298
GF-SITE-106,Goldfields,-28.94996,125.7532,Approved,431.446231422018
GF-SITE-107,Pilbara,-21.01816,117.39223,Pending,65.14611726993449
GF-SITE-108,Pilbara,-21.9907,120.59771,Approved,278.72909331103796
GF-SITE-109,Goldfields,-30.97472,121.4448,Approved,25.9809529779564
GF-SITE-110,Gascoyne,-25.54308,115.22212,Pending,173.392088004252
GF-SITE-111,Pilbara,-23.22973,120.96843,Approved,405.39638966077604
GF-SITE-112,Gascoyne,-23.68951,115.4871,Approved,227.56863511027098
GF-SITE-113,Mid West,-28.80227,117.25205,Pending,273.915059298823
GF-SITE-114,Kimberley,-17.63413,125.73335,Pending,372.48775817338804
GF-SITE-115,Gascoyne,-25.555,114.65955,Pending,125.095444750187
GF-SITE-116,Kimberley,-16.74007,124.77812,Pending,301.757150184253
GF-SITE-117,Kimberley,-15.02453,123.47818,Pending,350.297235759319
GF-SITE-118,Mid West,-28.84028,116.49329,Approved,183.545283517022
GF-SITE-119,Kimberley,-16.1505,127.2628,Approved,163.382063210049
GF-SITE-120,Kimberley,-17.98159,125.14513,Pending,308.147842431038
GF-SITE-121,Kimberley,-14.49097,125.73102,Approved,353.01962771125704
GF-SITE-122,Goldfields,-27.50437,122.13502,Approved,172.25901022197502
GF-SITE-123,Gascoyne,-24.69524,114.53301,Approved,90.47034903254429
GF-SITE-124,Pilbara,-20.90439,118.06063,Approved,85.4136329963755
GF-SITE-125,Goldfields,-29.60486,123.36109,Approved,213.014880329513
GF-SITE-126,Kimberley,-14.16266,127.1547,Approved,246.556349456055
GF-SITE-127,Pilbara,-20.56779,117.01092,Approved,25.846935475745397
GF-SITE-128,Gascoyne,-25.79339,115.75424,Pending,233.525355957731
GF-SITE-129,Kimberley,-17.85791,124.15989,Approved,204.125064021292
GF-SITE-130,Gascoyne,-24.34003,114.5082,Pending,104.647986234284
GF-SITE-131,Kimberley,-16.12691,123.929,Pending,270.89424470983397
GF-SITE-132,Goldfields,-28.81075,123.62009,Pending,223.696099682068
GF-SITE-133,Pilbara,-22.48781,120.59198,Approved,317.36449554807797
GF-SITE-134,Kimberley,-16.37747,123.77456,Approved,239.261496128654
GF-SITE-135,Kimberley,-15.01867,124.91073,Approved,419.296534376992
GF-SITE-136,Pilbara,-20.53082,120.98228,Pending,250.520084516446
GF-SITE-137,Gascoyne,-24.74155,114.86791,Pending,122.897768365504
GF-SITE-138,Goldfields,-26.99899,122.91313,Pending,260.734312729161
GF-SITE-139,Goldfields,-28.97054,121.6895,Approved,36.385482104520506
GF-SITE-140,Goldfields,-30.73464,125.08152,Pending,346.358421247778
GF-SITE-141,Kimberley,-16.42611,124.91841,Approved,331.689731129863
GF-SITE-142,Kimberley,-16.54311,124.58093,Approved,294.229055172403
GF-SITE-143,Pilbara,-21.31244,116.04867,Approved,104.082898491382
GF-SITE-144,Goldfields,-26.48843,122.62276,Approved,294.64193355933503
GF-SITE-145,Goldfields,-27.3469,124.33041,Approved,340.59245341688205
GF-SITE-146,Pilbara,-23.20081,116.41667,Approved,276.18074258509
GF-SITE-147,Gascoyne,-23.64649,113.73689,Pending,137.124006292967
GF-SITE-148,Kimberley,-17.4307,127.23537,Pending,243.61935287532398
GF-SITE-149,Mid West,-26.95407,114.68894,Pending,202.145570467737
GF-SITE-150,Pilbara,-21.59846,118.03061,Approved,153.389941050548
