Site_ID,Proposed_Region,Latitude,Longitude,Native_Title_Status
GF-SITE-076,Goldfields,-30.99207,123.2351,Approved
GF-SITE-077,Mid West,-27.15764,117.72838,Approved
GF-SITE-078,Gascoyne,-24.82642,114.80698,Approved
GF-SITE-079,Gascoyne,-24.09948,114.57474,Approved
GF-SITE-080,Goldfields,-28.23019,122.8896,Pending
GF-SITE-081,Gascoyne,-24.44542,113.89826,Approved
GF-SITE-082,Kimberley,-15.88818,125.50958,Approved
GF-SITE-083,Gascoyne,-23.75573,114.91438,Approved
GF-SITE-084,Mid West,-26.65523,114.75427,Approved
GF-SITE-085,Gascoyne,-24.92811,114.40755,Pending
GF-SITE-086,Gascoyne,-24.86382,114.44264,Pending
GF-SITE-087,Pilbara,-23.12049,120.71634,Approved
GF-SITE-088,Goldfields,-28.72724,125.81696,Approved
GF-SITE-089,Gascoyne,-23.92241,113.96693,Approved
GF-SITE-090,Kimberley,-15.78682,122.03799,Pending
GF-SITE-091,Gascoyne,-25.07864,113.848,Approved
GF-SITE-092,Mid West,-27.91638,116.28674,Pending
GF-SITE-093,Kimberley,-16.15772,124.96997,Pending
GF-SITE-094,Pilbara,-22.03517,117.92548,Approved
GF-SITE-095,Kimberley,-17.61371,126.37433,Pending
GF-SITE-096,Gascoyne,-25.63837,113.72976,Pending
GF-SITE-097,Mid West,-26.1801,116.0251,Approved
GF-SITE-098,Pilbara,-21.69052,118.38764,Approved
GF-SITE-099,Kimberley,-16.20288,127.27256,Pending
GF-SITE-100,Goldfields,-27.39497,122.83221,Pending
GF-SITE-101,Kimberley,-14.70677,124.25297,Approved
GF-SITE-102,Mid West,-26.49968,114.6588,Approved
GF-SITE-103,Gascoyne,-25.68395,115.6123,Approved
GF-SITE-104,Goldfields,-28.51528,121.0003,Approved
GF-SITE-105,Kimberley,-17.74652,124.59544,Pending
GF-SITE-106,Goldfields,-28.94996,125.7532,Approved
GF-SITE-107,Pilbara,-21.01816,117.39223,Pending
GF-SITE-108,Pilbara,-21.9907,120.59771,Approved
GF-SITE-109,Goldfields,-30.97472,121.4448,Approved
GF-SITE-110,Gascoyne,-25.54308,115.22212,Pending
GF-SITE-111,Pilbara,-23.22973,120.96843,Approved
GF-SITE-112,Gascoyne,-23.68951,115.4871,Approved
GF-SITE-113,Mid West,-28.80227,117.25205,Pending
GF-SITE-114,Kimberley,-17.63413,125.73335,Pending
GF-SITE-115,Gascoyne,-25.555,114.65955,Pending
GF-SITE-116,Kimberley,-16.74007,124.77812,Pending
GF-SITE-117,Kimberley,-15.02453,123.47818,Pending
GF-SITE-118,Mid West,-28.84028,116.49329,Approved
GF-SITE-119,Kimberley,-16.1505,127.2628,Approved
GF-SITE-120,Kimberley,-17.98159,125.14513,Pending
GF-SITE-121,Kimberley,-14.49097,125.73102,Approved
GF-SITE-122,Goldfields,-27.50437,122.13502,Approved
GF-SITE-123,Gascoyne,-24.69524,114.53301,Approved
GF-SITE-124,Pilbara,-20.90439,118.06063,Approved
GF-SITE-125,Goldfields,-29.60486,123.36109,Approved
GF-SITE-126,Kimberley,-14.16266,127.1547,Approved
GF-SITE-127,Pilbara,-20.56779,117.01092,Approved
GF-SITE-128,Gascoyne,-25.79339,115.75424,Pending
GF-SITE-129,Kimberley,-17.85791,124.15989,Approved
GF-SITE-130,Gascoyne,-24.34003,114.5082,Pending
GF-SITE-131,Kimberley,-16.12691,123.929,Pending
GF-SITE-132,Goldfields,-28.81075,123.62009,Pending
GF-SITE-133,Pilbara,-22.48781,120.59198,Approved
GF-SITE-134,Kimberley,-16.37747,123.77456,Approved
GF-SITE-135,Kimberley,-15.01867,124.91073,Approved
GF-SITE-136,Pilbara,-20.53082,120.98228,Pending
GF-SITE-137,Gascoyne,-24.74155,114.86791,Pending
GF-SITE-138,Goldfields,-26.99899,122.91313,Pending
GF-SITE-139,Goldfields,-28.97054,121.6895,Approved
GF-SITE-140,Goldfields,-30.73464,125.08152,Pending
GF-SITE-141,Kimberley,-16.42611,124.91841,Approved
GF-SITE-142,Kimberley,-16.54311,124.58093,Approved
GF-SITE-143,Pilbara,-21.31244,116.04867,Approved
GF-SITE-144,Goldfields,-26.48843,122.62276,Approved
GF-SITE-145,Goldfields,-27.3469,124.33041,Approved
GF-SITE-146,Pilbara,-23.20081,116.41667,Approved
GF-SITE-147,Gascoyne,-23.64649,113.73689,Pending
GF-SITE-148,Kimberley,-17.4307,127.23537,Pending
GF-SITE-149,Mid West,-26.95407,114.68894,Pending
GF-SITE-150,Pilbara,-21.59846,118.03061,Approved
